2Theta (deg),Counts (cts)
30.00,52.7400
30.05,52.9978
30.10,51.3332
30.15,48.9127
30.20,47.4168
30.25,47.8973
30.30,50.0622
30.35,52.4737
30.40,53.5265
30.45,52.5393
30.50,50.2180
30.55,48.1757
30.60,47.8360
30.65,49.4644
30.70,51.9882
30.75,53.7257
30.80,53.5300
30.85,51.5689
30.90,49.2106
30.95,48.0934
31.00,49.0118
31.05,51.3758
31.10,53.6127
31.15,54.2358
31.20,52.8561
31.25,50.4466
31.30,48.6805
31.35,48.7936
31.40,50.7436
31.45,53.2391
31.50,54.6181
31.55,53.9773
31.60,51.7873
31.65,49.5722
31.70,48.8730
31.75,50.2001
31.80,52.6857
31.85,54.6743
31.90,54.8485
31.95,53.1246
32.00,50.7096
32.05,49.2809
32.10,49.8446
32.15,52.0524
32.20,54.4377
32.25,55.4133
32.30,54.3507
32.35,52.0073
32.40,50.0116
32.45,49.7557
32.50,51.4486
32.55,53.9739
32.60,55.6493
32.65,55.3705
32.70,53.3619
32.75,51.0246
32.80,49.9829
32.85,50.9802
32.90,53.3733
32.95,55.5700
33.00,56.1113
33.05,54.6642
33.10,52.2480
33.15,50.5407
33.20,50.7385
33.25,52.7421
33.30,55.2239
33.35,56.5315
33.40,55.8108
33.45,53.5871
33.50,51.4077
33.55,50.7899
33.60,52.1890
33.65,54.6889
33.70,56.6248
33.75,56.7153
33.80,54.9345
33.85,52.5284
33.90,51.1687
33.95,51.8154
34.00,54.0639
34.05,56.4207
34.10,57.3184
34.15,56.1819
34.20,53.8195
34.25,51.8732
34.30,51.7020
34.35,53.4577
34.40,55.9821
34.45,57.5938
34.50,57.2325
34.55,55.1795
34.60,52.8664
34.65,51.9019
34.70,52.9775
34.75,55.3974
34.80,57.5517
34.85,58.0112
34.90,56.4990
34.95,54.0793
35.00,52.4334
35.05,52.7163
35.10,54.7716
35.15,57.2374
35.20,58.4728
35.25,57.6736
35.30,55.4194
35.35,53.2789
35.40,52.7439
35.45,54.2142
35.50,56.7261
35.55,58.6075
35.60,58.6151
35.65,56.7800
35.70,54.3864
35.75,53.0981
35.80,53.8277
35.85,56.1152
35.90,58.4415
35.95,59.2611
36.00,58.0530
36.05,55.6754
36.10,53.7819
36.15,53.6984
36.20,55.5242
36.25,58.0758
36.30,59.7258
36.35,59.6026
36.40,58.4126
36.45,58.4633
36.50,63.0725
36.55,75.9764
36.60,101.2239
36.65,143.3750
36.70,207.1196
36.75,295.3831
36.80,405.9694
36.85,528.3774
36.90,643.3844
36.95,727.1851
37.00,759.3111
37.05,730.7966
37.10,648.2266
37.15,531.3077
37.20,405.2207
37.25,291.7653
37.30,203.4688
37.35,142.6248
37.40,104.4110
37.45,81.5349
37.50,67.8993
37.55,60.0283
37.60,56.4790
37.65,56.3881
37.70,58.3948
37.75,60.5872
37.80,61.2995
37.85,60.0150
37.90,57.6249
37.95,55.7875
38.00,55.7900
38.05,57.6696
38.10,60.1876
38.15,61.6709
38.20,61.1507
38.25,59.0203
38.30,56.7685
38.35,55.9665
38.40,57.2000
38.45,59.6703
38.50,61.7380
38.55,62.0377
38.60,60.4063
38.65,57.9940
38.70,56.4824
38.75,56.9407
38.80,59.0986
38.85,61.5302
38.90,62.6239
38.95,61.6776
39.00,59.3772
39.05,57.3294
39.10,56.9693
39.15,58.5846
39.20,61.1198
39.25,62.8943
39.30,62.7446
39.35,60.8166
39.40,58.4651
39.45,57.3336
39.50,58.2361
39.55,60.6037
39.60,62.8715
39.65,63.5428
39.70,62.2068
39.75,59.8181
39.80,58.0478
39.85,58.1462
39.90,60.0938
39.95,62.6138
40.00,64.0402
40.05,63.4517
40.10,61.2972
40.15,59.0911
40.20,58.3834
40.25,59.7057
40.30,62.2094
40.35,64.2434
40.40,64.4762
40.45,62.8019
40.50,60.4124
40.55,58.9860
40.60,59.5472
40.65,61.7695
40.70,64.1973
40.75,65.2361
40.80,64.2370
40.85,61.9375
40.90,59.9603
40.95,59.7100
41.00,61.4178
41.05,63.9841
41.10,65.7268
41.15,65.5250
41.20,63.5810
41.25,61.2834
41.30,60.2625
41.35,61.2816
41.40,63.7184
41.45,65.9879
41.50,66.6206
41.55,65.2616
41.60,62.9125
41.65,61.2498
41.70,61.4855
41.75,63.5426
41.80,66.1078
41.85,67.5248
41.90,66.9205
41.95,64.7992
42.00,62.6997
42.05,62.1491
42.10,63.6245
42.15,66.2289
42.20,68.3010
42.25,68.5461
42.30,66.9157
42.35,64.6417
42.40,63.3988
42.45,64.1654
42.50,66.5599
42.55,69.0994
42.60,70.2094
42.65,69.2951
42.70,67.1459
42.75,65.3998
42.80,65.4302
42.85,67.4126
42.90,70.2063
42.95,72.1312
43.00,72.1113
43.05,70.4083
43.10,68.4443
43.15,67.8370
43.20,69.3015
43.25,72.1658
43.30,74.8305
43.35,75.8593
43.40,74.9588
43.45,73.1817
43.50,72.2153
43.55,73.2391
43.60,76.1281
43.65,79.5451
43.70,81.8572
43.75,82.2565
43.80,81.3195
43.85,80.6290
43.90,81.7133
43.95,85.0259
44.00,89.6599
44.05,93.9934
44.10,96.8267
44.15,98.2405
44.20,99.5944
44.25,102.6683
44.30,108.5352
44.35,116.9363
44.40,126.5889
44.45,136.2257
44.50,145.6642
44.55,156.1849
44.60,169.9596
44.65,188.8963
44.70,213.6279
44.75,243.1967
44.80,275.4090
44.85,307.3024
44.90,335.2204
44.95,354.8125
45.00,362.0008
45.05,355.0124
45.10,335.5525
45.15,307.6767
45.20,275.7750
45.25,243.5775
45.30,214.1047
45.35,189.5527
45.40,170.8253
45.45,157.2153
45.50,146.7705
45.55,137.3357
45.60,127.6957
45.65,118.1033
45.70,109.8530
45.75,104.1926
45.80,101.3088
45.85,100.0672
45.90,98.6796
45.95,95.8366
46.00,91.5320
46.05,87.0139
46.10,83.8935
46.15,83.0149
46.20,83.8525
46.25,84.8464
46.30,84.4428
46.35,82.1361
46.40,78.7988
46.45,76.0773
46.50,75.2631
46.55,76.4065
46.60,78.2758
46.65,79.1889
46.70,78.1526
46.75,75.5333
46.80,72.8046
46.85,71.5416
46.90,72.3472
46.95,74.4396
47.00,76.1818
47.05,76.1927
47.10,74.2852
47.15,71.5911
47.20,69.7910
47.25,69.9695
47.30,71.8770
47.35,74.0986
47.40,75.0149
47.45,73.9030
47.50,71.4273
47.55,69.1868
47.60,68.6275
47.65,70.0584
47.70,72.4409
47.75,74.0946
47.80,73.8400
47.85,71.7997
47.90,69.3151
47.95,68.0338
48.00,68.7890
48.05,71.0323
48.10,73.2070
48.15,73.8058
48.20,72.3963
48.25,69.9143
48.30,68.0277
48.35,68.0017
48.40,69.8389
48.45,72.2765
48.50,73.6457
48.55,73.0063
48.60,70.7855
48.65,68.4878
48.70,67.6716
48.75,68.8893
48.80,71.3116
48.85,73.2915
48.90,73.4841
48.95,71.7611
49.00,69.2982
49.05,67.7751
49.10,68.2338
49.15,70.3693
49.20,72.7376
49.25,73.7370
49.30,72.6978
49.35,70.3373
49.40,68.2723
49.45,67.9191
49.50,69.5311
49.55,72.0255
49.60,73.7205
49.65,73.4784
49.70,71.4792
49.75,69.0988
49.80,67.9726
49.85,68.8836
49.90,71.2301
49.95,73.4347
50.00,74.0168
