2Theta (deg),Intensity (cts)
30.00,52.8039
30.05,53.0624
30.10,51.3983
30.15,48.9784
30.20,47.4830
30.25,47.9641
30.30,50.1296
30.35,52.5417
30.40,53.5951
30.45,52.6085
30.50,50.2879
30.55,48.2462
30.60,47.9071
30.65,49.5361
30.70,52.0606
30.75,53.7988
30.80,53.6038
30.85,51.6434
30.90,49.2857
30.95,48.1693
31.00,49.0884
31.05,51.4531
31.10,53.6907
31.15,54.3145
31.20,52.9356
31.25,50.5269
31.30,48.7616
31.35,48.8754
31.40,50.8262
31.45,53.3226
31.50,54.7024
31.55,54.0623
31.60,51.8732
31.65,49.6590
31.70,48.9607
31.75,50.2886
31.80,52.7751
31.85,54.7646
31.90,54.9397
31.95,53.2167
32.00,50.8027
32.05,49.3749
32.10,49.9396
32.15,52.1484
32.20,54.5347
32.25,55.5113
32.30,54.4497
32.35,52.1074
32.40,50.1128
32.45,49.8580
32.50,51.5519
32.55,54.0783
32.60,55.7549
32.65,55.4772
32.70,53.4698
32.75,51.1337
32.80,50.0932
32.85,51.0917
32.90,53.4861
32.95,55.6840
33.00,56.2266
33.05,54.7808
33.10,52.3659
33.15,50.6599
33.20,50.8591
33.25,52.8641
33.30,55.3474
33.35,56.6563
33.40,55.9371
33.45,53.7149
33.50,51.5370
33.55,50.9208
33.60,52.3215
33.65,54.8229
33.70,56.7604
33.75,56.8526
33.80,55.0734
33.85,52.6691
33.90,51.3111
33.95,51.9595
34.00,54.2099
34.05,56.5685
34.10,57.4681
34.15,56.3335
34.20,53.9730
34.25,52.0287
34.30,51.8595
34.35,53.6173
34.40,56.1437
34.45,57.7576
34.50,57.3984
34.55,55.3476
34.60,53.0367
34.65,52.0745
34.70,53.1524
34.75,55.5747
34.80,57.7314
34.85,58.1934
34.90,56.6837
34.95,54.2666
35.00,52.6233
35.05,52.9089
35.10,54.9669
35.15,57.4355
35.20,58.6737
35.25,57.8775
35.30,55.6262
35.35,53.4887
35.40,52.9568
35.45,54.4304
35.50,56.9461
35.55,58.8330
35.60,58.8516
35.65,57.0447
35.70,54.7287
35.75,53.6509
35.80,54.9216
35.85,58.5107
35.90,63.7524
35.95,70.6389
36.00,81.1397
36.05,99.6848
36.10,132.3329
36.15,184.7855
36.20,259.9284
36.25,355.7905
36.30,464.6697
36.35,573.8329
36.40,667.7655
36.45,731.5009
36.50,754.1760
36.55,731.7796
36.60,668.2144
36.65,574.3084
36.70,465.0912
36.75,356.1951
36.80,260.4457
36.85,185.5494
36.90,133.3907
36.95,100.9650
37.00,82.5010
37.05,71.9658
37.10,65.0345
37.15,59.8491
37.20,56.4608
37.25,55.4806
37.30,56.8226
37.35,59.2788
37.40,61.0885
37.45,61.0154
37.50,59.1363
37.55,56.7676
37.60,55.5629
37.65,56.3855
37.70,58.7208
37.75,61.0257
37.80,61.7782
37.85,60.5122
37.90,58.1347
37.95,56.3087
38.00,56.3226
38.05,58.2138
38.10,60.7438
38.15,62.2394
38.20,61.7319
38.25,59.6147
38.30,57.3765
38.35,56.5886
38.40,57.8365
38.45,60.3217
38.50,62.4049
38.55,62.7206
38.60,61.1057
38.65,58.7105
38.70,57.2166
38.75,57.6932
38.80,59.8701
38.85,62.3213
38.90,63.4353
38.95,62.5101
39.00,60.2316
39.05,58.2065
39.10,57.8699
39.15,59.5097
39.20,62.0703
39.25,63.8712
39.30,63.7489
39.35,61.8494
39.40,59.5276
39.45,58.4269
39.50,59.3616
39.55,61.7627
39.60,64.0653
39.65,64.7730
39.70,63.4750
39.75,61.1260
39.80,59.3970
39.85,59.5387
39.90,61.5315
39.95,64.0988
40.00,65.5747
40.05,65.0381
40.10,62.9379
40.15,60.7887
40.20,60.1408
40.25,61.5259
40.30,64.0956
40.35,66.1988
40.40,66.5046
40.45,64.9071
40.50,62.5985
40.55,61.2575
40.60,61.9088
40.65,64.2262
40.70,66.7546
40.75,67.8998
40.80,67.0135
40.85,64.8333
40.90,62.9829
40.95,62.8673
41.00,64.7182
41.05,67.4369
41.10,69.3420
41.15,69.3134
41.20,67.5544
41.25,65.4547
41.30,64.6456
41.35,65.8919
41.40,68.5725
41.45,71.1042
41.50,72.0193
41.55,70.9649
41.60,68.9448
41.65,67.6382
41.70,68.2600
41.75,70.7364
41.80,73.7580
41.85,75.6726
41.90,75.6122
41.95,74.0867
42.00,72.6415
42.05,72.8110
42.10,75.0812
42.15,78.5653
42.20,81.6140
42.25,82.9467
42.30,82.5315
42.35,81.6201
42.40,81.9108
42.45,84.4105
42.50,88.7718
42.55,93.5536
42.60,97.2326
42.65,99.2767
42.70,100.5535
42.75,102.7986
42.80,107.5081
42.85,115.0132
42.90,124.3720
42.95,134.1598
43.00,143.6304
43.05,153.4719
43.10,165.6576
43.15,182.5098
43.20,205.6231
43.25,235.3677
43.30,271.2418
43.35,312.6394
43.40,359.0944
43.45,409.1644
43.50,458.1221
43.55,496.5244
43.60,512.9574
43.65,501.0274
43.70,464.1340
43.75,412.7329
43.80,357.9967
43.85,307.8941
43.90,266.4158
43.95,234.1510
44.00,209.3190
44.05,189.1490
44.10,171.3373
44.15,155.0097
44.20,140.7286
44.25,129.6077
44.30,122.1492
44.35,117.5834
44.40,114.1435
44.45,110.0749
44.50,104.6787
44.55,98.6696
44.60,93.5982
44.65,90.7234
44.70,90.0985
44.75,90.4881
44.80,90.1703
44.85,88.0769
44.90,84.4947
44.95,80.8494
45.00,78.7186
45.05,78.7446
45.10,80.1857
45.15,81.4093
45.20,80.9947
45.25,78.6905
45.30,75.5799
45.35,73.3383
45.40,73.0892
45.45,74.6360
45.50,76.5923
45.55,77.3211
45.60,76.0456
45.65,73.3751
45.70,70.8880
45.75,70.0569
45.80,71.2456
45.85,73.4597
45.90,75.0220
45.95,74.7116
46.00,72.5930
46.05,69.9714
46.10,68.5042
46.15,69.0732
46.20,71.1840
46.25,73.3019
46.30,73.8945
46.35,72.4739
46.40,69.9273
46.45,67.9137
46.50,67.7351
46.55,69.4509
46.60,71.8369
46.65,73.2177
46.70,72.6057
46.75,70.3724
46.80,67.9955
46.85,67.0537
46.90,68.1534
46.95,70.5153
47.00,72.5051
47.05,72.7438
47.10,71.0462
47.15,68.5459
47.20,66.9249
47.25,67.2693
47.30,69.3306
47.35,71.6949
47.40,72.7439
47.45,71.7556
47.50,69.3950
47.55,67.2619
47.60,66.8028
47.65,68.3275
47.70,70.7977
47.75,72.5337
47.80,72.3561
47.85,70.3882
47.90,67.9717
47.95,66.7543
48.00,67.5697
48.05,69.8697
48.10,72.0978
48.15,72.7470
48.20,71.3851
48.25,68.9481
48.30,67.1040
48.35,67.1183
48.40,68.9935
48.45,71.4672
48.50,72.8706
48.55,72.2637
48.60,70.0737
48.65,67.8053
48.70,67.0168
48.75,68.2609
48.80,70.7084
48.85,72.7123
48.90,72.9277
48.95,71.2264
49.00,68.7842
49.05,67.2809
49.10,67.7584
49.15,69.9119
49.20,72.2973
49.25,73.3132
49.30,72.2896
49.35,69.9441
49.40,67.8935
49.45,67.5541
49.50,69.1792
49.55,71.6862
49.60,73.3933
49.65,73.1627
49.70,71.1746
49.75,68.8049
49.80,67.6889
49.85,68.6096
49.90,70.9656
49.95,73.1792
50.00,73.7700
