2Theta (deg),Intensity (cts)
30.00,52.8036
30.05,53.0620
30.10,51.3979
30.15,48.9779
30.20,47.4825
30.25,47.9636
30.30,50.1290
30.35,52.5411
30.40,53.5944
30.45,52.6078
30.50,50.2871
30.55,48.2454
30.60,47.9062
30.65,49.5352
30.70,52.0596
30.75,53.7977
30.80,53.6027
30.85,51.6422
30.90,49.2845
30.95,48.1680
31.00,49.0870
31.05,51.4517
31.10,53.6892
31.15,54.3130
31.20,52.9340
31.25,50.5252
31.30,48.7598
31.35,48.8736
31.40,50.8243
31.45,53.3206
31.50,54.7003
31.55,54.0602
31.60,51.8710
31.65,49.6567
31.70,48.9583
31.75,50.2861
31.80,52.7725
31.85,54.7620
31.90,54.9370
31.95,53.2139
32.00,50.7998
32.05,49.3719
32.10,49.9365
32.15,52.1452
32.20,54.5314
32.25,55.5079
32.30,54.4462
32.35,52.1037
32.40,50.1090
32.45,49.8541
32.50,51.5479
32.55,54.0742
32.60,55.7506
32.65,55.4728
32.70,53.4653
32.75,51.1290
32.80,50.0884
32.85,51.0868
32.90,53.4810
32.95,55.6788
33.00,56.2212
33.05,54.7753
33.10,52.3602
33.15,50.6541
33.20,50.8531
33.25,52.8579
33.30,55.3410
33.35,56.6498
33.40,55.9304
33.45,53.7080
33.50,51.5299
33.55,50.9135
33.60,52.3140
33.65,54.8152
33.70,56.7525
33.75,56.8445
33.80,55.0651
33.85,52.6605
33.90,51.3023
33.95,51.9505
34.00,54.2006
34.05,56.5590
34.10,57.4583
34.15,56.3234
34.20,53.9627
34.25,52.0181
34.30,51.8486
34.35,53.6061
34.40,56.1322
34.45,57.7458
34.50,57.3863
34.55,55.3352
34.60,53.0240
34.65,52.0614
34.70,53.1390
34.75,55.5609
34.80,57.7173
34.85,58.1789
34.90,56.6688
34.95,54.2513
35.00,52.6076
35.05,52.8929
35.10,54.9510
35.15,57.4214
35.20,58.6685
35.25,57.9063
35.30,55.7720
35.35,53.9988
35.40,54.4999
35.45,58.6423
35.50,67.4361
35.55,82.7491
35.60,108.8194
35.65,152.7475
35.70,222.7757
35.75,324.1622
35.80,454.0437
35.85,598.0365
35.90,731.3809
35.95,825.5692
36.00,858.2817
36.05,821.9900
36.10,726.7340
36.15,595.6371
36.20,455.7561
36.25,329.1322
36.30,228.0113
36.35,155.1538
36.40,107.3031
36.45,78.9620
36.50,64.6521
36.55,59.5308
36.60,59.3106
36.65,60.3922
36.70,60.4100
36.75,58.7227
36.80,56.2738
36.85,54.6879
36.90,55.0595
36.95,57.1699
37.00,59.6232
37.05,60.7916
37.10,59.9218
37.15,57.6465
37.20,55.5546
37.25,55.1103
37.30,56.6576
37.35,59.1863
37.40,61.0190
37.45,60.9518
37.50,59.0730
37.55,56.7030
37.60,55.4965
37.65,56.3171
37.70,58.6503
37.75,60.9530
37.80,61.7032
37.85,60.4348
37.90,58.0548
37.95,56.2263
38.00,56.2375
38.05,58.1260
38.10,60.6531
38.15,62.1458
38.20,61.6352
38.25,59.5148
38.30,57.2732
38.35,56.4818
38.40,57.7261
38.45,60.2076
38.50,62.2869
38.55,62.5985
38.60,60.9793
38.65,58.5797
38.70,57.0812
38.75,57.5530
38.80,59.7248
38.85,62.1708
38.90,63.2793
38.95,62.3484
39.00,60.0639
39.05,58.0325
39.10,57.6894
39.15,59.3223
39.20,61.8757
39.25,63.6691
39.30,63.5390
39.35,61.6312
39.40,59.3007
39.45,58.1910
39.50,59.1161
39.55,61.5072
39.60,63.7993
39.65,64.4959
39.70,63.1862
39.75,60.8249
39.80,59.0830
39.85,59.2111
39.90,61.1895
39.95,63.7416
40.00,65.2015
40.05,64.6479
40.10,62.5298
40.15,60.3617
40.20,59.6937
40.25,61.0575
40.30,63.6046
40.35,65.6839
40.40,65.9642
40.45,64.3397
40.50,62.0023
40.55,60.6306
40.60,61.2492
40.65,63.5317
40.70,66.0228
40.75,67.1282
40.80,66.1992
40.85,63.9734
40.90,62.0740
40.95,61.9057
41.00,63.7001
41.05,66.3579
41.10,68.1974
41.15,68.0980
41.20,66.2625
41.25,64.0800
41.30,63.1812
41.35,64.3301
41.40,66.9049
41.45,69.3214
41.50,70.1108
41.55,68.9191
41.60,66.7487
41.65,65.2773
41.70,65.7179
41.75,67.9949
41.80,70.7963
41.85,72.4674
41.90,72.1370
41.95,70.3113
42.00,68.5314
42.05,68.3269
42.10,70.1778
42.15,73.1903
42.20,75.7070
42.25,76.4373
42.30,75.3377
42.35,73.6456
42.40,73.0421
42.45,74.5132
42.50,77.6858
42.55,81.0873
42.60,83.1550
42.65,83.3079
42.70,82.3520
42.75,81.9448
42.80,83.4829
42.85,87.1699
42.90,91.8986
42.95,96.0298
43.00,98.5374
43.05,99.7439
43.10,101.1470
43.15,104.4579
43.20,110.5085
43.25,118.7736
43.30,127.8391
43.35,136.5032
43.40,144.7701
43.45,154.0689
43.50,166.5592
43.55,184.0013
43.60,206.9574
43.65,234.8392
43.70,266.6887
43.75,301.9832
43.80,340.5955
43.85,381.5140
43.90,420.9441
43.95,451.5736
44.00,464.8893
44.05,455.9786
44.10,426.8267
44.15,385.0097
44.20,339.5312
44.25,297.3546
44.30,261.9835
44.35,233.6651
44.40,210.5889
44.45,190.5128
44.50,172.1348
44.55,155.5970
44.60,141.9596
44.65,132.0814
44.70,125.6969
44.75,121.3199
44.80,117.0318
44.85,111.6101
44.90,105.2204
44.95,99.1926
45.00,95.0283
45.05,93.3092
45.10,93.2448
45.15,93.1634
45.20,91.6121
45.25,88.3135
45.30,84.3294
45.35,81.3174
45.40,80.3863
45.45,81.3272
45.50,82.7434
45.55,82.9892
45.60,81.2806
45.65,78.2204
45.70,75.3818
45.75,74.2328
45.80,75.1333
45.85,77.0855
45.90,78.4093
45.95,77.8811
46.00,75.5633
46.05,72.7591
46.10,71.1243
46.15,71.5391
46.20,73.5077
46.25,75.4944
46.30,75.9657
46.35,74.4327
46.40,71.7819
46.45,69.6715
46.50,69.4029
46.55,71.0348
46.60,73.3426
46.65,74.6504
46.70,73.9702
46.75,71.6730
46.80,69.2362
46.85,68.2383
46.90,69.2852
46.95,71.5976
47.00,73.5407
47.05,73.7355
47.10,71.9965
47.15,69.4572
47.20,67.7993
47.25,68.1088
47.30,70.1371
47.35,72.4702
47.40,73.4896
47.45,72.4732
47.50,70.0860
47.55,67.9276
47.60,67.4445
47.65,68.9463
47.70,71.3948
47.75,73.1101
47.80,72.9128
47.85,70.9261
47.90,68.4916
47.95,67.2571
48.00,68.0561
48.05,70.3405
48.10,72.5537
48.15,73.1886
48.20,71.8130
48.25,69.3629
48.30,67.5063
48.35,67.5085
48.40,69.3722
48.45,71.8348
48.50,73.2276
48.55,72.6105
48.60,70.4107
48.65,68.1328
48.70,67.3353
48.75,68.5707
48.80,71.0098
48.85,73.0056
48.90,73.2132
48.95,71.5044
49.00,69.0550
49.05,67.5447
49.10,68.0155
49.15,70.1625
49.20,72.5417
49.25,73.5515
49.30,72.5221
49.35,70.1710
49.40,68.1149
49.45,67.7702
49.50,69.3902
49.55,71.8923
49.60,73.5946
49.65,73.3594
49.70,71.3669
49.75,68.9928
49.80,67.8726
49.85,68.7893
49.90,71.1413
49.95,73.3511
50.00,73.9382
